ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,class
3,0.002547,0.002555,4,0.0,3.04,0.393707,0.003049,1.01,0.004091,10.1322,0.0,1.01,2.05,0,0,2,33,0.0,3.04,0.308139,0.0,0.0,3.1,5,125,0,11,1,2,0.0,0.0,55,0.0,36,0.004387,0.004425,0.004354,2.04,2.4,7,3.22,11,0,11,2,2.04,0.0,3.05,0.043005,1.01,4,0.005627,0.0,0.004406,8,8,0.008431,3.5,0.103594,0.003611,
37,0.008643,0.004756,71,0.0,14.37,2.09375,0.001481,2.02,0.015332,38.2812,0.0,13.18,14.23,1,0,2,300,0.010354,11.3,1.12823,0.0,0.0,34.22,53,1217,0,48,1,1,0.0,0.0,1128,0.0,605,0.041329,0.015698,0.061578,16.3,23.21,54,39.75,67,4,38,11,3.03,0.0,16.31,0.149026,1.01,78,0.018761,0.001486,0.060301,7,7,0.021602,43.12,0.328692,0.009906,
3,0.001479,0.009143,5,1.01,3.08,0.484675,0.0,6.17,0.001953,9.49506,0.00026,2.03,2.05,0,6,0,48,0.001951,2.04,0.287726,2.06,0.0,4.38,16,214,0,8,1,11,0.0,0.0,28,0.0,79,0.00466,0.002373,0.002221,3.12,2.25,26,3.64,7,0,4,1,0.0,0.0,8.28,0.043268,1.01,5,0.003117,0.001486,0.002325,7,2,0.011859,4.68,0.125841,0.001655,
10,0.005642,0.005395,38,0.0,1.06,0.811584,0.000876,6.07,0.000739,27.5814,0.0,7.09,7.08,0,0,4,187,0.004355,1.03,0.756585,0.0,0.0,18.7,37,535,1,25,1,6,0.0,0.0,300,0.0,268,0.028494,0.000759,0.034402,10.13,8.87,39,22.48,1,0,0,6,1.03,0.0,11.13,0.080838,2.02,40,0.020376,0.002338,0.030608,17,10,0.020478,24.06,0.170416,0.007,
1,0.00135,0.0,1,1.01,1.01,0.03194,0.000876,0.0,0.0,7.55094,0.000402,1.01,2.02,1,0,0,10,0.000577,0.0,0.204387,0.0,0.0,2.04,1,31,1,8,2,1,0.0,0.0,28,0.0,12,0.001433,0.000615,0.001485,1.01,2.13,2,2.06,1,0,0,0,1.01,0.0,1.01,0.02254,3.05,1,0.000566,0.003017,0.001492,22,7,0.000652,2.13,0.055912,0.001572,
0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,7,0,0.0,0.0,0.0,0.0,
8,0.000667,0.0,7,0.0,2.04,0.748927,0.0,0.0,0.002712,7.74631,0.0,1.06,1.06,0,0,2,49,0.0,2.04,0.255544,0.0,0.0,5.32,16,198,29,13,2,0,0.0,0.0,78,4.06,118,0.008936,0.00262,0.00876,2.06,1.93,16,4.51,6,0,6,3,0.0,0.0,2.06,0.039137,1.01,7,0.008318,0.0,0.004431,24,2,0.008008,6.08,0.117569,0.000473,
0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,26,0,2,1,0,0.0,0.0,1,0.0,18,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,9,2,0.0,0.0,0.0,0.0,
22,0.014309,0.000453,21,3.04,3.13,0.519229,0.0,1.01,0.000507,19.6679,0.001366,10.24,9.23,0,0,1,168,0.01494,1.09,0.49991,0.0,0.0,18.86,29,516,0,24,1,1,0.0,0.0,276,0.0,337,0.019782,0.0016,0.02181,10.25,12.51,29,17.27,13,0,9,1,0.0,0.0,10.25,0.044185,1.01,21,0.011728,0.001486,0.019341,7,0,0.011908,22.0,0.079902,0.015668,
4,0.002488,0.003493,4,0.0,0.0,0.096672,0.002408,1.01,0.0,5.64169,0.0,0.0,1.02,7,1,0,36,0.0,0.0,0.1548,0.0,0.0,2.05,8,114,0,20,1,4,0.0,0.0,190,0.0,66,0.004098,0.0,0.003263,1.01,1.37,12,2.07,18,0,11,0,1.02,0.0,2.02,0.015663,1.02,4,0.002039,0.002673,0.003906,22,16,0.005788,2.13,0.02762,0.00273,
